"ppt","type","trialNo","subjectGroup","condition1","title","content","trialText","head","stimFormat","pageBreak","stim1","stim2","key","ITI","ISI","presTime","random","randomBlock","feedbackIncorrect","feedbackCorrect","button1","button2","keyboard","responseType","responseOptions","orderPres","orderFile","timestamp","response","RT","correct","responseCode"
"AFMRBPDWJZMR","test",11,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M2","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",8,11,389351,"2",2363,1,NA
"AFMRBPDWJZMR","test",2,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B1","na","1","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",9,2,394802,"1",3120,1,NA
"AFMRBPDWJZMR","test",15,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M5","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",10,15,400617,"2",3621,1,NA
"AFMRBPDWJZMR","test",9,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B8","na","1","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",11,9,407632,"1",4024,1,NA
"AFMRBPDWJZMR","test",18,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M8","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",12,18,412694,"1",2720,0,NA
"AFMRBPDWJZMR","test",7,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B6","na","1","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",13,7,417812,"2",2771,0,NA
"AFMRBPDWJZMR","test",14,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M5","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",14,14,423342,"1",3212,0,NA
"AFMRBPDWJZMR","test",16,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M6","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",15,16,430088,"2",4055,1,NA
"AFMRBPDWJZMR","test",6,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B5","na","1","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",16,6,435055,"1",2539,1,NA
"AFMRBPDWJZMR","test",4,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","B3","na","1","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",17,4,440052,"1",2409,1,NA
"AFMRBPDWJZMR","test",13,0,"apprentissage","na","na","To which family does this character belong?","na",".jpg","na","M4","na","2","500","na","na","1",0,"Your answer is wrong","Your answer is correct","FAMILY A"," FAMILY B","na","na","na",18,13,445077,"1",2528,0,NA
"AFMRBPDWJZMR","test",5,4,"affectivemisattributionprocedure4","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",3,"na","na","na","na","u p ","na","na",19,117,731945,"u",2486,0,NA
"AFMRBPDWJZMR","test",5,4,"affectivemisattributionprocedure4","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",5,"na","na","na","na","u p ","na","na",20,127,734279,"u",926,0,NA
"AFMRBPDWJZMR","test",5,4,"affectivemisattributionprocedure4","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",4,"na","na","na","na","u p ","na","na",21,126,736702,"p",981,0,NA
"AFMRBPDWJZMR","test",5,4,"affectivemisattributionprocedure4","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",2,"na","na","na","na","u p ","na","na",22,116,738815,"p",693,0,NA
"AFMRBPDWJZMR","test",5,4,"affectivemisattributionprocedure4","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",7,"na","na","na","na","u p ","na","na",23,121,741124,"p",884,0,NA
"AFMRBPDWJZMR","test",5,4,"affectivemisattributionprocedure4","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",4,"na","na","na","na","u p ","na","na",24,118,743624,"u",905,0,NA
"AFMRBPDWJZMR","test",5,4,"affectivemisattributionprocedure4","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",8,"na","na","na","na","u p ","na","na",25,130,745515,"p",463,0,NA
"AFMRBPDWJZMR","test",5,4,"affectivemisattributionprocedure4","na","na","This word is:<br><br>negative press u ; positive press p","na",".bmp","na","Mask","na","na","na","na","na","na",3,"na","na","na","na","u p ","na","na",26,125,747738,"u",803,0,NA
